Year ,Jet Fuel_avi_BTU,Gasoline_avi_BTU,LDV_SWB_road_BTU,LDV_LWB_road_BTU,Combination_Truck_road_BTU,Bus_Road_BTU,Passenger_Car_EFF,Passenger_Car_Age,Demand_petroleum_transportation)mil_lit,Average_MC/15000_miles(dollars),CO2_emission_million_metric_tons,CO_emission_million_shots_tons,NOx_emission_million_shots_tons,SOx_emission_million_shots_tons,Volatile_compound_million_shots_tons,overall_emission
1967.5,954.0045,35.0984,5980.980778,4549.066788996526,800.864188,105.25025,27.6,10.149999999999999,324557.38647223177,7788.5,1822.6075,100.81277283258763,22.073472147500002,14.920004497458008,18.2121144079691,2000.1641759750198
1970.0,1060.695,54.16488361592309,8164.903979168001,1728.5490292034592,883.853949982,98.66062206199999,28.0,10.149999999999999,339177.522046404,7788.5,1822.6075,204.042,26.882,31.218,29.04643276279056,2132.4305
1975.0,1020.33,49.5224,8931.556063575033,2295.1383976672582,1103.9218274606853,126.66633029799999,28.4,10.149999999999999,389881.923381624,3087.875,1340.3690000000001,188.398,26.378,28.044,29.04643276279056,1665.151612109571
1980.0,1150.09647174,54.16488361592309,8442.341322520637,2862.3492496713743,1568.1689218802387,122.489519234,27.9,10.149999999999999,396853.72485968395,3176.0,1397.368,185.408,27.08,25.926,29.04643276279056,1673.9019999999996
1985.0,1365.5259671400001,50.6042,8624.481447582395,4002.0094730201836,1684.6380414581106,100.27957929237753,28.4,10.149999999999999,407271.87141408003,3484.0,1423.027,176.845,25.757,23.307,27.403,1717.6620000000003
1990.0,1648.62517698,42.4306,8391.081005882206,4283.509657850689,1940.564436696687,107.66719179303126,28.3,10.149999999999999,430043.766811656,4954.0,1586.738,154.188,25.527,23.077,24.108,1841.3909999999998
1991.0,1533.60153522,42.5508,7758.585752690131,4596.958615994538,2021.8421307539406,103.9232328804431,28.6,10.149999999999999,424806.49032235204,5601.0,1566.98,147.128,25.18,22.37485075,23.577,1812.58485075
1992.0,1565.707168395,37.7428,7893.995665233374,4923.236416475617,2070.8718021525297,105.622054641831,28.5,10.149999999999999,434878.252751688,5824.0,1590.597,140.895,25.261,22.082,23.066,1828.999
1993.0,1614.597453495,32.2136,8088.694486539812,5154.400249678764,2134.8319877917315,111.78356674532245,28.7,10.149999999999999,441299.58340212,5804.0,1603.874,135.902,25.356,21.773,22.73,1836.999
1994.0,1687.57485075,31.9732,8145.937972216452,5343.4635667555485,2246.2170351340005,117.880761144,28.8,10.149999999999999,449392.24158796796,5916.0,1644.05,133.558,25.35,21.346,22.57,1875.4819999999997
1995.0,1729.5817391100002,34.4974,8211.742595768737,5485.583396630523,2378.9178964033863,116.3951098618748,28.3,9.449999999999998,455205.835698036,6185.0,1678.552,126.778,24.955,18.619,22.042,1896.7659999999996
1996.0,1780.2861440849997,34.6777,8311.152928870884,5669.401393390086,2417.523136542861,118.518655951908,28.5,9.449999999999998,464439.859953888,6389.0,1728.61,128.85813891,24.787361250000007,18.385268459999995,20.871235000000002,1944.36900062
1997.0,1843.7796759149999,35.12244,8431.325199996001,5940.64948363,2442.009444198,123.482961308,28.8,9.449999999999998,470636.9617245,6723.0,1747.712,117.91014078,24.70495659,18.839865219999997,19.530182999999997,1951.60577459
1998.0,1795.92325119,37.41826,8648.676348554,6069.9022035,3026.151819992,125.13773581000001,29.0,9.449999999999998,484447.58315706,6908.0,1785.253,115.38010004,24.347759939999996,18.94440807,18.781439,1985.5993750500002
1999.0,1956.2175,41.51708,8825.640390038001,6347.589290802,3156.358528128,137.897434118,29.5,9.449999999999998,498846.77558902797,7050.0,1831.809,114.54126393399999,22.844743190000003,17.545485519000003,18.269942,2028.393819643
2000.0,1876.9995,40.00256,8813.907092168001,6367.79709823,3087.223548198,133.762121724,29.491622052528175,9.449999999999998,499126.42668594,7363.0,1887.665,114.46663324599999,22.598433585,16.346998165,17.512341999999997,2082.336283996
2001.0,1770.1335,33.5629051,8871.28134902,6437.920949366,3068.7176673840004,123.401287114,30.32107744067438,9.449999999999998,506261.86016852397,7654.0,1859.394,106.262327387,21.548510710000006,15.931655637999999,17.111263,2043.955350735
2002.0,1658.772,33.25864284,9101.115177227999,6642.205910888,3185.12877418,120.233435018,30.0877234841691,9.8,519585.25365174,7534.0,1898.731,102.03284772508191,23.958760506115524,15.032064971951257,20.289449086873432,2081.620001394211
2003.0,1676.295,32.7393548,9099.177285422502,7308.342742550692,2864.6617943566634,116.55054727793672,31.242083440278726,9.9,524688.4962729481,7754.0,1916.584,99.59269794009336,22.650576240673704,14.807944022964758,19.910969988720197,2095.2106735039147
2004.0,1806.3,32.80237566,9094.14339648554,7628.195070023372,2909.8270211217723,163.6103938463633,31.46933735656268,10.0,534431.817430104,8431.0,1971.599,97.147153499985,21.331139755449538,14.571443002309113,19.51383897111179,2145.9116208927476
2005.0,1793.367,35.4642810055108,9335.15054437244,7081.127076986283,3330.558609185967,134.72663851245258,32.900237517235425,10.1,529914.3521742481,8410.0,1992.366,88.5458895540806,20.354764446241735,14.545748475852127,17.753005659169496,2154.866930463676
